LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_STATE,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM
GOOGLE INC.,MOUNTAIN VIEW,CA,94043,SOFTWARE ENGINEER,130000
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE ENGINEER,92630
NATIONAL WRITING PROJECT,BERKELEY,CA,94720,SOFTWARE ENGINEER (WEB ADMINISTRATOR),60000
"RISA TECHNOLOGIES, LLC",FOOTHILL RANCH,CA,92610,ENGINEER/ANALYST,78000
NOKIA INC.,SAN DIEGO,CA,92131-,CARICAM SALES OFFICE CONTROLLER,90000
"CORELOGIC CONSUMER SERVICES, INC.",SANTA ANA,CA,92707,SOFTWARE ENGINEER IV,104100
YAHOO! INC.,SUNNYVALE,CA,94089-,SOFTWARE ENGINEER (TECHNICAL YAHOO! DBA),91100
"SKYWORKS SOLUTIONS, INC.",IRVINE,CA,92617-,ELECTRICAL SENIOR ENGINEER,86000
LOGITECH INC.,FREMONT,CA,94555-,SOFTWARE ENGINEER (EMBEDDED SW LEAD ENGINEER),148000
"ORACLE USA, INC.",REDWOOD SHORES,CA,94065-,SOFTWARE ENGINEER (CONSULTING SOLUTION MANAGER),91212
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SOFTWARE ENGINEER,79539.2
QUALCOMM INCORPORATED,SAN DIEGO,CA,92121,SENIOR SOFTWARE/SYSTEMS TEST ENGINEER,86448
EXILANT CONSULTING PVT. LTD.,SANTA CLARA,CA,95054-,SYSTEMS ANALYST,6958
HEWLETT PACKARD COMPANY,CUPERTINO,CA,95014-,ELECTRICAL/HARDWARE ENGINEER,82300.4
"ZYNGA GAME NETWORK, INC.",SAN FRANCISCO,CA,94107-,"DIRECTOR, PRODUCT MANAGMENT",125150
